,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_dropout,param_epochs,param_filters,param_lstm,param_units,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
142,7.8418525695800785,0.164306611064888,0.26050639152526855,0.005045702536828137,16,0.2,100,32,128,64,"{'batch_size': 16, 'dropout': 0.2, 'epochs': 100, 'filters': 32, 'lstm': 128, 'units': 64}",0.5416666666666666,0.8333333333333334,0.8085106382978723,0.5531914893617021,0.7446808510638298,0.6962765957446809,0.12498126211349812,280,0.544973544973545,0.8042328042328042,0.7842105263157895,0.5421052631578948,0.8157894736842105,0.6982623224728488,0.1267374802505148
143,7.687926959991455,0.09726847970842173,0.32692770957946776,0.13300883814783565,16,0.2,100,32,128,128,"{'batch_size': 16, 'dropout': 0.2, 'epochs': 100, 'filters': 32, 'lstm': 128, 'units': 128}",0.5416666666666666,0.7916666666666666,0.8297872340425532,0.5531914893617021,0.8297872340425532,0.7092198581560284,0.13288294423047975,257,0.544973544973545,0.8359788359788359,0.7947368421052632,0.5421052631578948,0.8315789473684211,0.709874686716792,0.13656846998377895
144,7.6572027683258055,0.1644980549304413,0.26290411949157716,0.004327880403402133,16,0.2,100,64,32,32,"{'batch_size': 16, 'dropout': 0.2, 'epochs': 100, 'filters': 64, 'lstm': 32, 'units': 32}",0.7291666666666666,0.8125,0.5319148936170213,0.5531914893617021,0.723404255319149,0.6700354609929078,0.1089685068316191,303,0.7936507936507936,0.8201058201058201,0.5473684210526316,0.5421052631578948,0.7684210526315789,0.6943302701197439,0.12324263649221198
145,7.64497561454773,0.16629567466010237,0.3285801887512207,0.13050090745355647,16,0.2,100,64,32,64,"{'batch_size': 16, 'dropout': 0.2, 'epochs': 100, 'filters': 64, 'lstm': 32, 'units': 64}",0.7291666666666666,0.7708333333333334,0.8085106382978723,0.8723404255319149,0.7446808510638298,0.7851063829787235,0.051234232277006325,27,0.8306878306878307,0.7936507936507936,0.7894736842105263,0.7947368421052632,0.8,0.8017098301308827,0.014872403526881904
146,7.613880205154419,0.14469242030162588,0.2645144462585449,0.003216215112752841,16,0.2,100,64,32,128,"{'batch_size': 16, 'dropout': 0.2, 'epochs': 100, 'filters': 64, 'lstm': 32, 'units': 128}",0.5416666666666666,0.7916666666666666,0.5319148936170213,0.851063829787234,0.7872340425531915,0.700709219858156,0.1357588811799228,274,0.544973544973545,0.8095238095238095,0.5473684210526316,0.7947368421052632,0.8105263157894737,0.7014257866889445,0.12689053305767464
147,7.769947671890259,0.13995157801336328,0.26209282875061035,0.005649418737576401,16,0.2,100,64,64,32,"{'batch_size': 16, 'dropout': 0.2, 'epochs': 100, 'filters': 64, 'lstm': 64, 'units': 32}",0.7083333333333334,0.8125,0.8085106382978723,0.7872340425531915,0.8297872340425532,0.78927304964539,0.04267638786004086,19,0.8253968253968254,0.798941798941799,0.8315789473684211,0.7842105263157895,0.8263157894736842,0.8132887774993037,0.01845111738801501
148,7.586255836486816,0.04204192361246562,0.32740583419799807,0.13280735204453864,16,0.2,100,64,64,64,"{'batch_size': 16, 'dropout': 0.2, 'epochs': 100, 'filters': 64, 'lstm': 64, 'units': 64}",0.6666666666666666,0.7916666666666666,0.7872340425531915,0.851063829787234,0.7872340425531915,0.7767730496453901,0.06013854032141405,54,0.7724867724867724,0.7777777777777778,0.8263157894736842,0.8,0.8105263157894737,0.7974213311055416,0.020104135306325432
149,7.788288211822509,0.16095544226964542,0.2592158794403076,0.0021464050902517237,16,0.2,100,64,64,128,"{'batch_size': 16, 'dropout': 0.2, 'epochs': 100, 'filters': 64, 'lstm': 64, 'units': 128}",0.75,0.5416666666666666,0.851063829787234,0.8085106382978723,0.7446808510638298,0.7391843971631206,0.10628600781367681,171,0.8835978835978836,0.544973544973545,0.8368421052631579,0.7842105263157895,0.7894736842105263,0.7678195488721805,0.1171039224407121
150,7.753778076171875,0.13910374861052077,0.2604724407196045,0.005360390394328664,16,0.2,100,64,128,32,"{'batch_size': 16, 'dropout': 0.2, 'epochs': 100, 'filters': 64, 'lstm': 128, 'units': 32}",0.5416666666666666,0.7708333333333334,0.7872340425531915,0.9361702127659575,0.6808510638297872,0.7433510638297872,0.12995619355323138,160,0.544973544973545,0.8095238095238095,0.7526315789473684,0.8368421052631579,0.7947368421052632,0.7477415761626288,0.10497932202642632
151,7.901409339904785,0.15800187256923157,0.26472840309143064,0.005068184158738238,16,0.2,100,64,128,64,"{'batch_size': 16, 'dropout': 0.2, 'epochs': 100, 'filters': 64, 'lstm': 128, 'units': 64}",0.7291666666666666,0.8125,0.7446808510638298,0.8085106382978723,0.8085106382978723,0.7806737588652483,0.036086460886639624,50,0.8624338624338624,0.8465608465608465,0.8,0.7578947368421053,0.8526315789473684,0.8239042049568365,0.039374562412475264
152,7.772613191604615,0.10719889242136027,0.2597674369812012,0.0021657834888438427,16,0.2,100,64,128,128,"{'batch_size': 16, 'dropout': 0.2, 'epochs': 100, 'filters': 64, 'lstm': 128, 'units': 128}",0.75,0.5416666666666666,0.8085106382978723,0.851063829787234,0.7872340425531915,0.7476950354609928,0.10807403007224975,155,0.9312169312169312,0.544973544973545,0.8157894736842105,0.8210526315789474,0.8157894736842105,0.785764411027569,0.12820682048100013
153,7.691064500808716,0.12829688123094324,0.3261465549468994,0.12461397178148076,16,0.2,100,128,32,32,"{'batch_size': 16, 'dropout': 0.2, 'epochs': 100, 'filters': 128, 'lstm': 32, 'units': 32}",0.7083333333333334,0.75,0.851063829787234,0.8297872340425532,0.5531914893617021,0.7384751773049645,0.10619368501699171,173,0.8518518518518519,0.8095238095238095,0.8210526315789474,0.7736842105263158,0.5421052631578948,0.7596435533277639,0.11160782491487581
154,7.681665372848511,0.14421004195733875,0.2611989498138428,0.002068692718258927,16,0.2,100,128,32,64,"{'batch_size': 16, 'dropout': 0.2, 'epochs': 100, 'filters': 128, 'lstm': 32, 'units': 64}",0.75,0.8333333333333334,0.8085106382978723,0.851063829787234,0.5531914893617021,0.7592198581560284,0.10852686106887133,130,0.7777777777777778,0.8095238095238095,0.8,0.8210526315789474,0.5421052631578948,0.7500918964076859,0.10496032076426925
